student_id,angkatan,program,jenis_kelamin,id_agama,ips_sem1,ips_sem2,ips_sem3,ips_sem4,ipk_sem4,sks_sem1,sks_sem2,sks_sem3,sks_sem4,total_sks_lulus_sem4,failed_courses,failed_in_sem1,repeated_courses,avg_attendance,ips_trend,avg_ips,ips_std,ips_max,ips_min,sks_completion_ratio,semester_count,target
2152296,2015,AP,P,1,3.0,3.13,3.7,3.32,3.29,20,16,20,19,75,0,0,0,,0.32,3.2875,0.3048,3.7,3.0,0.9375,6,1
2152297,2015,AP,L,1,3.0,3.0,3.0,3.0,3.0,20,16,20,19,75,0,0,0,,0.0,3.0,0.0,3.0,3.0,0.9375,6,1
2152298,2015,AP,L,1,3.1,3.13,3.0,3.21,3.11,20,16,20,19,75,0,0,0,,0.11,3.11,0.0868,3.21,3.0,0.9375,6,1
2152299,2015,AP,P,1,2.6,3.0,3.0,2.82,2.85,20,16,20,17,73,0,0,0,,0.22,2.855,0.19,3.0,2.6,0.9125,4,0
2152300,2015,AP,P,1,3.5,3.38,3.65,3.58,3.5300000000000002,20,16,20,19,75,0,0,0,,0.08,3.5275,0.1159,3.65,3.38,0.9375,6,1
2152301,2015,AP,L,1,3.5,3.13,3.35,3.11,3.2800000000000002,20,16,20,19,75,0,0,0,,-0.39,3.2725,0.1866,3.5,3.11,0.9375,6,1
2152302,2015,AP,P,1,3.0,3.5,3.5,3.11,3.27,20,16,20,19,75,0,0,0,,0.11,3.2775,0.2608,3.5,3.0,0.9375,6,1
2152303,2015,AP,L,1,3.2,3.13,3.15,3.4699999999999998,3.24,20,16,20,19,75,0,0,0,,0.27,3.2375,0.1578,3.47,3.13,0.9375,6,1
2152304,2015,AP,L,1,3.0,3.5,3.2,3.32,3.24,20,16,20,19,75,0,0,0,,0.32,3.255,0.21,3.5,3.0,0.9375,6,1
2152305,2015,AP,L,1,2.8,3.0,3.0,3.0,2.95,20,16,20,19,75,0,0,0,,0.2,2.95,0.1,3.0,2.8,0.9375,6,1
2152306,2015,AP,L,4,3.0,3.38,3.15,3.21,3.17,20,16,20,19,75,0,0,0,,0.21,3.185,0.1572,3.38,3.0,0.9375,6,1
2152307,2015,AP,L,1,3.0,3.0,3.35,3.11,3.12,20,16,20,19,75,0,0,0,,0.11,3.115,0.165,3.35,3.0,0.9375,6,1
2152308,2015,AP,L,1,3.0,3.13,3.0,3.0,3.03,20,16,20,19,75,0,0,0,,0.0,3.0325,0.065,3.13,3.0,0.9375,6,1
2162083,2016,IH,L,1,,3.0,3.0,,3.0,,2,6,,8,0,0,0,,0.0,3.0,0.0,3.0,3.0,0.1,3,1
2162084,2016,IH,L,2,,3.0,0.0,3.0,1.71,,2,6,6,14,1,0,1,,0.0,2.0,1.7321,3.0,0.0,0.175,4,1
2162085,2016,IH,P,1,,4.0,3.0,,3.25,,2,6,,8,0,0,0,,-1.0,3.5,0.7071,4.0,3.0,0.1,3,1
2162086,2016,IH,L,2,,4.0,3.0,,3.25,,2,6,,8,0,0,0,,-1.0,3.5,0.7071,4.0,3.0,0.1,3,1
2162087,2016,IH,P,1,,4.0,4.0,,4.0,,2,6,,8,0,0,0,,0.0,4.0,0.0,4.0,4.0,0.1,3,1
2162088,2016,IH,P,1,,4.0,3.0,,3.25,,2,6,,8,0,0,0,,-1.0,3.5,0.7071,4.0,3.0,0.1,3,1
2162089,2016,IH,L,1,,3.0,3.0,,3.0,,2,6,,8,0,0,0,,0.0,3.0,0.0,3.0,3.0,0.1,3,1
2162090,2016,IH,L,1,,4.0,4.0,,4.0,,2,6,,8,0,0,0,,0.0,4.0,0.0,4.0,4.0,0.1,3,1
2162091,2016,IH,L,1,,3.0,4.0,,3.75,,2,6,,8,0,0,0,,1.0,3.5,0.7071,4.0,3.0,0.1,3,1
2162092,2016,IH,P,1,,3.0,3.0,,3.0,,2,6,,8,0,0,0,,0.0,3.0,0.0,3.0,3.0,0.1,3,1
2162093,2016,IH,L,1,,3.0,3.0,,3.0,,2,6,,8,0,0,0,,0.0,3.0,0.0,3.0,3.0,0.1,3,1
2162094,2016,IH,P,1,,4.0,3.0,,3.25,,2,6,,8,0,0,0,,-1.0,3.5,0.7071,4.0,3.0,0.1,3,1
2162095,2016,IH,P,1,,4.0,4.0,,4.0,,2,6,,8,0,0,0,,0.0,4.0,0.0,4.0,4.0,0.1,3,1
2162096,2016,IH,P,1,,3.0,3.0,,3.0,,2,6,,8,0,0,0,,0.0,3.0,0.0,3.0,3.0,0.1,3,1
2162097,2016,IH,L,2,,3.0,3.0,,3.0,,2,6,,8,0,0,0,,0.0,3.0,0.0,3.0,3.0,0.1,3,1
2162098,2016,IH,P,1,,4.0,4.0,,4.0,,2,6,,8,0,0,0,,0.0,4.0,0.0,4.0,4.0,0.1,3,1
2162099,2016,IH,P,1,,4.0,4.0,,4.0,,2,6,,8,0,0,0,,0.0,4.0,0.0,4.0,4.0,0.1,3,1
2162100,2016,IH,P,2,,4.0,3.0,,3.25,,2,6,,8,0,0,0,,-1.0,3.5,0.7071,4.0,3.0,0.1,3,1
2162101,2016,IH,L,1,,4.0,3.0,,3.25,,2,6,,8,0,0,0,,-1.0,3.5,0.7071,4.0,3.0,0.1,3,1
2162102,2016,IH,L,1,,3.0,0.0,3.0,1.71,,2,6,6,14,1,0,1,,0.0,2.0,1.7321,3.0,0.0,0.175,4,1
2162103,2016,IH,L,1,,3.0,3.0,,3.0,,2,6,,8,0,0,0,,0.0,3.0,0.0,3.0,3.0,0.1,3,1
2162104,2016,IH,P,2,,4.0,3.0,,3.25,,2,6,,8,0,0,0,,-1.0,3.5,0.7071,4.0,3.0,0.1,3,1
